epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,117.463,0,0.62222,0,0,0,0,0,0,0.02087,0,0.067275,0.000330556,0.000330556
2,239.788,0,0.00864,0,0,0,0,0,0,0.00652,0,0.0341436,0.000532439,0.000532439
3,383.303,0,0.00482,0,0,0,0,0,0,0.00541,0,0.0008801,0.000602322,0.000602322
4,527.941,0,0.00433,0,0,0,0,0,0,0.00506,0,0.000406,0.000406,0.000406
5,647.098,0,0.00411,0,0,0,0,0,0,0.00482,0,0.000208,0.000208,0.000208
1,137.987,0,0.62222,0,0,0,0,0,0,0.02087,0,0.067275,0.000330556,0.000330556
2,275.313,0,0.00864,0,0,0,0,0,0,0.00652,0,0.0341436,0.000532439,0.000532439
3,409.351,0,0.00482,0,0,0,0,0,0,0.00541,0,0.0008801,0.000602322,0.000602322
4,577.797,0,0.00433,0,0,0,0,0,0,0.00506,0,0.000406,0.000406,0.000406
5,819.236,0,0.00411,0,0,0,0,0,0,0.00482,0,0.000208,0.000208,0.000208
